uf_acidente,media,cv,ano_acidente,n
AC,3960.4,0.11436574617893297,2018,4209
AC,3960.4,0.11436574617893297,2019,4614
AC,3960.4,0.11436574617893297,2020,3744
AC,3960.4,0.11436574617893297,2021,3460
AC,3960.4,0.11436574617893297,2022,3775
AL,1196.4,0.9265013311084417,2018,416
AL,1196.4,0.9265013311084417,2019,417
AL,1196.4,0.9265013311084417,2020,342
AL,1196.4,0.9265013311084417,2021,2239
AL,1196.4,0.9265013311084417,2022,2568
AM,1332.6,1.3364934514955615,2018,2056
AM,1332.6,1.3364934514955615,2019,229
AM,1332.6,1.3364934514955615,2020,220
AM,1332.6,1.3364934514955615,2021,4152
AM,1332.6,1.3364934514955615,2022,6
AP,1487.4,0.5627912822272311,2018,0
AP,1487.4,0.5627912822272311,2019,1955
AP,1487.4,0.5627912822272311,2020,1766
AP,1487.4,0.5627912822272311,2021,1957
AP,1487.4,0.5627912822272311,2022,1759
BA,14264.8,0.493221208721902,2018,21160
BA,14264.8,0.493221208721902,2019,20110
BA,14264.8,0.493221208721902,2020,14058
BA,14264.8,0.493221208721902,2021,12340
BA,14264.8,0.493221208721902,2022,3656
CE,14296,0.4020418523481663,2018,21931
CE,14296,0.4020418523481663,2019,18901
CE,14296,0.4020418523481663,2020,11518
CE,14296,0.4020418523481663,2021,9284
CE,14296,0.4020418523481663,2022,9846
DF,32640.2,0.6925765512724423,2018,8105
DF,32640.2,0.6925765512724423,2019,8609
DF,32640.2,0.6925765512724423,2020,43115
DF,32640.2,0.6925765512724423,2021,47851
DF,32640.2,0.6925765512724423,2022,55521
ES,39461,0.58914519764999,2018,77571
ES,39461,0.58914519764999,2019,34647
ES,39461,0.58914519764999,2020,26373
ES,39461,0.58914519764999,2021,41825
ES,39461,0.58914519764999,2022,16889
GO,85553.8,0.026925919164625396,2018,84689
GO,85553.8,0.026925919164625396,2019,89634
GO,85553.8,0.026925919164625396,2020,84189
GO,85553.8,0.026925919164625396,2021,84986
GO,85553.8,0.026925919164625396,2022,84271
MA,3050.2,1.0817228289118728,2018,527
MA,3050.2,1.0817228289118728,2019,665
MA,3050.2,1.0817228289118728,2020,760
MA,3050.2,1.0817228289118728,2021,6240
MA,3050.2,1.0817228289118728,2022,7059
MG,251932.6,0.06790311905817059,2018,257892
MG,251932.6,0.06790311905817059,2019,274035
MG,251932.6,0.06790311905817059,2020,229056
MG,251932.6,0.06790311905817059,2021,241931
MG,251932.6,0.06790311905817059,2022,256749
MS,18326.6,0.18063728724380107,2018,13300
MS,18326.6,0.18063728724380107,2019,20552
