var,na_qtde,pna,uf
num_acidente,0,0,BR
chv_localidade,0,0,BR
data_acidente,0,0,BR
uf_acidente,0,0,BR
ano_acidente,0,0,BR
mes_acidente,0,0,BR
mes_ano_acidente,0,0,BR
codigo_ibge,0,0,BR
dia_semana,0,0,BR
fase_dia,50657,0.010284426089556953,BR
tp_acidente,162567,0.033004486963322054,BR
cond_meteorologica,2562782,0.5202981239048295,BR
end_acidente,157890,0.03205495855025263,BR
cep_acidente,4764717,0.9673367910487305,BR
bairro_acidente,1933910,0.39262400968977806,BR
latitude_acidente,3639454,0.7388849649474389,BR
longitude_acidente,3639589,0.7389123727592337,BR
hora_acidente,64661,0.013127529766406265,BR
cond_pista,3478376,0.7061827759971723,BR
tp_pavimento,3278653,0.6656348471446034,BR
lim_velocidade,4818779,0.9783125030580012,BR
qtde_acidente,0,0,BR
qtde_acid_com_obitos,0,0,BR
qtde_envolvidos,0,0,BR
qtde_feridosilesos,0,0,BR
qtde_obitos,0,0,BR
num_acidente,0,0,AC
chv_localidade,0,0,AC
data_acidente,0,0,AC
uf_acidente,0,0,AC
ano_acidente,0,0,AC
mes_acidente,0,0,AC
mes_ano_acidente,0,0,AC
codigo_ibge,0,0,AC
dia_semana,0,0,AC
fase_dia,0,0,AC
tp_acidente,21,0.0010090332500480492,AC
cond_meteorologica,264,0.012684989429175475,AC
end_acidente,60,0.0028829521429944265,AC
cep_acidente,19366,0.9305208533538343,AC
bairro_acidente,1053,0.050595810109552185,AC
latitude_acidente,17493,0.840524697290025,AC
longitude_acidente,17493,0.840524697290025,AC
hora_acidente,128,0.006150297905054776,AC
cond_pista,273,0.01311743225062464,AC
tp_pavimento,119,0.005717855083605612,AC
lim_velocidade,20812,1,AC
qtde_acidente,0,0,AC
qtde_acid_com_obitos,0,0,AC
qtde_envolvidos,0,0,AC
qtde_feridosilesos,0,0,AC
qtde_obitos,0,0,AC
num_acidente,0,0,AL
chv_localidade,0,0,AL
data_acidente,0,0,AL
uf_acidente,0,0,AL
ano_acidente,0,0,AL
mes_acidente,0,0,AL
mes_ano_acidente,0,0,AL
codigo_ibge,0,0,AL
dia_semana,0,0,AL
fase_dia,65,0.009017758046614872,AL
tp_acidente,215,0.029827968923418425,AL
cond_meteorologica,2075,0.28787458379578246,AL
end_acidente,1326,0.18396226415094338,AL
cep_acidente,6811,0.94492230854606,AL
bairro_acidente,1017,0.14109322974472807,AL
latitude_acidente,6871,0.9532463928967814,AL
longitude_acidente,6870,0.9531076581576027,AL
hora_acidente,66,0.009156492785793563,AL
cond_pista,2466,0.3421198668146504,AL
tp_pavimento,1989,0.2759433962264151,AL
lim_velocidade,6778,0.9403440621531631,AL
qtde_acidente,0,0,AL
qtde_acid_com_obitos,0,0,AL
qtde_envolvidos,0,0,AL
qtde_feridosilesos,0,0,AL
qtde_obitos,0,0,AL
num_acidente,0,0,AM
chv_localidade,0,0,AM
data_acidente,0,0,AM
uf_acidente,0,0,AM
ano_acidente,0,0,AM
mes_acidente,0,0,AM
mes_ano_acidente,0,0,AM
codigo_ibge,0,0,AM
dia_semana,0,0,AM
fase_dia,0,0,AM
tp_acidente,6663,0.98521366257578,AM
cond_meteorologica,6702,0.9909803341712258,AM
end_acidente,6,8.871802454532013e-4,AM
cep_acidente,6763,1,AM
bairro_acidente,630,0.09315392577258613,AM
latitude_acidente,6763,1,AM
longitude_acidente,6763,1,AM
hora_acidente,4,5.914534969688008e-4,AM
cond_pista,6763,1,AM
tp_pavimento,6763,1,AM
lim_velocidade,6763,1,AM
qtde_acidente,0,0,AM
qtde_acid_com_obitos,0,0,AM
qtde_envolvidos,0,0,AM
qtde_feridosilesos,0,0,AM
qtde_obitos,0,0,AM
num_acidente,0,0,AP
chv_localidade,0,0,AP
data_acidente,0,0,AP
uf_acidente,0,0,AP
ano_acidente,0,0,AP
mes_acidente,0,0,AP
mes_ano_acidente,0,0,AP
codigo_ibge,0,0,AP
dia_semana,0,0,AP
fase_dia,0,0,AP
tp_acidente,0,0,AP
cond_meteorologica,11,0.0014790910313298372,AP
end_acidente,17,0.0022858679575097486,AP
cep_acidente,6737,0.9058760252790103,AP
bairro_acidente,968,0.13016001075702568,AP
latitude_acidente,5677,0.7633454349872261,AP
longitude_acidente,5677,0.7633454349872261,AP
hora_acidente,124,0.016673389807718167,AP
cond_pista,1956,0.26300927793465106,AP
tp_pavimento,5678,0.763479897808256,AP
lim_velocidade,7437,1,AP
qtde_acidente,0,0,AP
qtde_acid_com_obitos,0,0,AP
qtde_envolvidos,0,0,AP
qtde_feridosilesos,0,0,AP
qtde_obitos,0,0,AP
num_acidente,0,0,BA
chv_localidade,0,0,BA
data_acidente,0,0,BA
uf_acidente,0,0,BA
ano_acidente,0,0,BA
mes_acidente,0,0,BA
mes_ano_acidente,0,0,BA
codigo_ibge,0,0,BA
dia_semana,0,0,BA
fase_dia,5956,0.08350625315461836,BA
tp_acidente,0,0,BA
cond_meteorologica,71324,1,BA
end_acidente,1574,0.02206830800291627,BA
cep_acidente,71324,1,BA
bairro_acidente,23514,0.32967864954293086,BA
latitude_acidente,71324,1,BA
longitude_acidente,71324,1,BA
hora_acidente,1,1.4020526050137402e-5,BA
cond_pista,55411,0.7768913689641636,BA
tp_pavimento,47797,0.6701390836184173,BA
lim_velocidade,71324,1,BA
qtde_acidente,0,0,BA
qtde_acid_com_obitos,0,0,BA
qtde_envolvidos,0,0,BA
qtde_feridosilesos,0,0,BA
qtde_obitos,0,0,BA
num_acidente,0,0,CE
chv_localidade,0,0,CE
data_acidente,0,0,CE
uf_acidente,0,0,CE
ano_acidente,0,0,CE
mes_acidente,0,0,CE
mes_ano_acidente,0,0,CE
codigo_ibge,0,0,CE
dia_semana,0,0,CE
fase_dia,0,0,CE
tp_acidente,1641,0.02183836152402752,CE
cond_meteorologica,65884,0.8767816030768002,CE
end_acidente,17700,0.2355508829831122,CE
cep_acidente,26213,0.34884154212634577,CE
bairro_acidente,33450,0.44515124495961034,CE
latitude_acidente,75143,1,CE
longitude_acidente,75143,1,CE
hora_acidente,145,0.0019296541261328401,CE
cond_pista,65916,0.8772074577804985,CE
tp_pavimento,65900,0.8769945304286494,CE
lim_velocidade,75143,1,CE
qtde_acidente,0,0,CE
qtde_acid_com_obitos,0,0,CE
qtde_envolvidos,0,0,CE
qtde_feridosilesos,0,0,CE
qtde_obitos,0,0,CE
num_acidente,0,0,DF
chv_localidade,0,0,DF
data_acidente,0,0,DF
uf_acidente,0,0,DF
ano_acidente,0,0,DF
mes_acidente,0,0,DF
mes_ano_acidente,0,0,DF
codigo_ibge,0,0,DF
dia_semana,0,0,DF
fase_dia,52,2.952867688813174e-4,DF
tp_acidente,4465,0.025354911981828508,DF
cond_meteorologica,124842,0.7089267461669506,DF
end_acidente,36584,0.20774559909142531,DF
cep_acidente,176100,1,DF
bairro_acidente,0,0,DF
latitude_acidente,562,0.003191368540601931,DF
longitude_acidente,562,0.003191368540601931,DF
hora_acidente,0,0,DF
cond_pista,102340,0.5811470755252698,DF
tp_pavimento,106178,0.6029415105053947,DF
lim_velocidade,176100,1,DF
qtde_acidente,0,0,DF
qtde_acid_com_obitos,0,0,DF
qtde_envolvidos,0,0,DF
qtde_feridosilesos,0,0,DF
qtde_obitos,0,0,DF
num_acidente,0,0,ES
chv_localidade,0,0,ES
data_acidente,0,0,ES
uf_acidente,0,0,ES
ano_acidente,0,0,ES
mes_acidente,0,0,ES
mes_ano_acidente,0,0,ES
codigo_ibge,0,0,ES
dia_semana,0,0,ES
fase_dia,2983,0.01489771864637021,ES
tp_acidente,7519,0.03755144032921811,ES
cond_meteorologica,76684,0.38297574813216667,ES
end_acidente,4513,0.02253885492828319,ES
cep_acidente,193395,0.9658546086539614,ES
bairro_acidente,22,1.0987254784450038e-4,ES
latitude_acidente,123556,0.6170642055215949,ES
longitude_acidente,123556,0.6170642055215949,ES
hora_acidente,0,0,ES
cond_pista,79035,0.3947171281313676,ES
tp_pavimento,81020,0.4046306284709737,ES
lim_velocidade,183084,0.9143593431619321,ES
qtde_acidente,0,0,ES
qtde_acid_com_obitos,0,0,ES
qtde_envolvidos,0,0,ES
qtde_feridosilesos,0,0,ES
qtde_obitos,0,0,ES
num_acidente,0,0,GO
chv_localidade,0,0,GO
data_acidente,0,0,GO
uf_acidente,0,0,GO
ano_acidente,0,0,GO
mes_acidente,0,0,GO
mes_ano_acidente,0,0,GO
codigo_ibge,0,0,GO
dia_semana,0,0,GO
fase_dia,0,0,GO
tp_acidente,0,0,GO
cond_meteorologica,0,0,GO
end_acidente,7,1.4983261556375591e-5,GO
cep_acidente,467188,1,GO
bairro_acidente,0,0,GO
latitude_acidente,264807,0.5668103632798788,GO
longitude_acidente,264943,0.5671014666472598,GO
hora_acidente,0,0,GO
cond_pista,306490,0.6560314049162221,GO
tp_pavimento,605,0.001294981891658176,GO
lim_velocidade,467188,1,GO
qtde_acidente,0,0,GO
qtde_acid_com_obitos,0,0,GO
qtde_envolvidos,0,0,GO
qtde_feridosilesos,0,0,GO
qtde_obitos,0,0,GO
num_acidente,0,0,MA
chv_localidade,0,0,MA
data_acidente,0,0,MA
uf_acidente,0,0,MA
ano_acidente,0,0,MA
mes_acidente,0,0,MA
mes_ano_acidente,0,0,MA
codigo_ibge,0,0,MA
dia_semana,0,0,MA
fase_dia,14,9.179725919611828e-4,MA
tp_acidente,388,0.02544095469149564,MA
cond_meteorologica,15251,1,MA
end_acidente,3325,0.21801849059078093,MA
cep_acidente,15251,1,MA
bairro_acidente,1286,0.08432233951872009,MA
latitude_acidente,15251,1,MA
longitude_acidente,15251,1,MA
hora_acidente,0,0,MA
cond_pista,15251,1,MA
tp_pavimento,15250,0.9999344305291457,MA
lim_velocidade,15251,1,MA
qtde_acidente,0,0,MA
qtde_acid_com_obitos,0,0,MA
qtde_envolvidos,0,0,MA
qtde_feridosilesos,0,0,MA
qtde_obitos,0,0,MA
num_acidente,0,0,MG
chv_localidade,0,0,MG
data_acidente,0,0,MG
uf_acidente,0,0,MG
ano_acidente,0,0,MG
mes_acidente,0,0,MG
mes_ano_acidente,0,0,MG
