UF/Var,equip_segurança,susp_alcool,gravidade_lesao,faixa_idade,tp_envolvido,genero,Média UF*
AC,"100,00%","98,51%","89,48%","9,08%","0,40%","8,17%","17,98%"
AL,"57,22%","94,74%","6,41%","27,91%","1,67%","6,11%","11,42%"
AP,"100,00%","92,76%","96,07%","89,56%","25,57%","24,06%","25,18%"
AM,"99,87%","99,72%","24,01%","41,06%","9,70%","9,16%","16,68%"
BA,"100,00%","100,00%","11,14%","64,67%","52,23%","10,24%","19,90%"
CE,"100,00%","100,00%","19,80%","90,71%","3,51%","40,44%","20,85%"
DF,"7,00%","100,00%","6,91%","15,19%","0,03%","17,04%","8,60%"
ES,"95,11%","100,00%","6,03%","30,89%","7,06%","21,44%","15,33%"
GO,"99,30%","100,00%","4,57%","17,37%","96,74%","4,57%","18,97%"
MA,"100,00%","88,60%","100,00%","36,13%","2,47%","0,80%","19,29%"
MT,"14,31%","11,67%","91,57%","86,12%","11,06%","3,39%","12,83%"
MS,"100,00%","64,09%","84,80%","22,17%","6,47%","8,30%","16,81%"
MG,"100,00%","63,14%","69,17%","1,36%","0,94%","0,99%","13,86%"
PA,"100,00%","100,00%","96,68%","98,43%","24,14%","24,32%","26,09%"
PB,"97,51%","69,90%","46,86%","80,09%","20,80%","3,71%","18,76%"
PR,"0,02%","78,18%","0,02%","55,34%","0,02%","42,74%","10,37%"
PE,"100,00%","100,00%","100,00%","100,00%","100,00%","1,63%","29,51%"
PI,"100,00%","100,00%","98,55%","31,23%","99,14%","35,98%","27,35%"
RJ,"100,00%","100,00%","27,61%","47,54%","0,05%","0,05%","16,19%"
RN,"100,00%","100,00%","100,00%","43,61%","2,61%","2,83%","20,53%"
RS,"100,00%","96,55%","26,47%","77,62%","0,31%","3,81%","17,93%"
RO,"100,00%","52,63%","0,12%","19,14%","0,12%","0,12%","10,12%"
RR,"100,00%","93,21%","2,97%","99,54%","0,56%","7,57%","17,87%"
SC,"100,00%","60,56%","73,20%","42,25%","0,03%","0,03%","16,24%"
SP,"100,00%","100,00%","24,57%","39,30%","24,57%","24,57%","18,42%"
SE,"75,27%","84,13%","55,70%","76,19%","4,76%","7,07%","17,83%"
TO,"100,00%","99,14%","0,47%","7,28¨%","0,17%","0,17%","12,19%"
BR,"83,78%","80,07","42,09%","30,28%","15,91%","12,96%","15,59%"
